,Unnamed: 0,MANUAL_ID,TRACK_ID,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,MAX_DISTANCE_TRAVELED,TRACK_MEAN_Q_ENV,TRACK_MEAN_Q_IN,TRACK_MEAN_Q_IN_BEFORE,TRACK_MEAN_Q_IN_AFTER,Protein,FILE_ID,SET_ID,CONFINEMENT_RATIO,Dur,To_CH2,Tf_CH2,To_CH2_TfC1,Tf_CH2_TfC1,FR,Imax_C1,Imax_C2,TRACK_START_CH2,TRACK_STOP_CH2,COLOCALIZE_ID,index,EXPERIMENT,CHANNEL,NOTES,CORRELATION_FACTOR,REASON_DISCARDED
19,19,Good,730.0,5.635000000000001,57.0,106.0,0.8011539635119828,730.0,370.714627995089,155.0733696465901,0.0820372133508899,0.3342787690997723,0.004612328014964,0.0692134063666288,0.0615426501858446,4.202841567993164,1.1745787370450589,0.6990955276489258,3.938235931396483,0.6113080221509176,0.7437742021348743,Sec17,12,0,0.1993007833904209,5.635000000000001,6.44,9.775,0.8049999999999997,4.14,0.115,20.048150000000007,47.673166666666674,113.0,142.0,2,,,,,,
20,20,Good,1629.0,8.395,100.0,173.0,0.3812778109226259,1629.0,404.4512851332616,537.8807479612555,0.0730149343152974,0.2836644677468246,0.0028754963705949,0.0723344903995015,0.0468211890068639,4.989547317092483,0.6232127330221717,0.442716763470624,3.4172518962138394,-0.2392028324187748,0.7842379978724887,Sec17,13,0,0.0715330878572689,8.395,10.81,16.79,2.415000000000001,8.395,0.115,17.48795,52.44260000000001,194.0,246.0,3,,,,,,
21,21,Good,6548.0,8.74,291.0,367.0,0.409870800480631,6548.0,97.12272832734548,658.8667570692635,0.0552877353497123,0.2214463567491274,0.002348027079986,0.0473843193937222,0.0367036321925531,6.307207677271459,0.8508678591848264,0.0910301134183809,4.3192725849014,1.0953474196176682,0.9832890222943018,Sec17,13,0,0.0975449042055469,8.74,7.475,12.305,-1.2650000000000006,3.5649999999999995,0.115,30.39166666666668,79.13333333333335,356.0,398.0,4,,,,,,
22,22,Good,2756.0,6.9,191.0,251.0,0.3656418694240479,2756.0,433.12838859988057,251.6388137468188,0.0616002748057655,0.1693798942149377,0.0076758771605142,0.0575378005894802,0.0350172820488797,5.188460428206647,0.5313841276433687,-0.0416137429534411,4.306781365788918,0.0551305498395647,0.9594677213638548,Sec17,14,0,0.0989286358913623,6.9,7.36,13.455,0.4599999999999999,6.555,0.115,27.10463333333334,47.87963333333335,255.0,308.0,5,,,,,,
23,23,Good,3423.0,6.67,232.0,290.0,1.00410072884865,3423.0,428.6557121420982,333.10362885854613,0.0707888785412343,0.230454028658265,0.0058110841377844,0.0614489748454029,0.0502535091367447,4.47210770946438,1.053775240468417,0.4377087463766841,3.982624671777988,0.7132364000592915,0.794781215607174,Sec17,14,0,0.2445593416455805,6.67,6.325,9.545,-0.3449999999999997,2.875,0.115,20.34906666666668,29.93796666666667,287.0,315.0,6,,,,,,
24,24,Good,3646.0,12.42,251.0,359.0,0.3027623899720801,3646.0,258.46303860462586,659.8706477786205,0.0586588976646965,0.2808316518713694,0.0054347772848049,0.0517937087265404,0.044421469349738,5.370629686828053,0.4047721588715111,0.7685674063656305,4.520368321347795,0.4967767624627975,1.098941681877015,Sec17,14,0,0.0477907968664684,12.42,9.545,20.24,-2.875,7.8199999999999985,0.115,17.164783333333336,60.58055000000002,334.0,427.0,7,,,,,,
25,25,Good,1124.0,5.635000000000001,120.0,169.0,0.3817171305968955,1124.0,467.00682619230975,380.59509678800407,0.0384235176921575,0.1092482888594598,0.0069751030169979,0.0371234060750582,0.0228600848211188,5.171895294189453,0.4770855426782677,0.6784114913940431,4.294492085774738,0.9353775145515564,-0.3706271156432136,Sec18,11,0,0.2027442043385541,5.635000000000001,5.405,9.775,-0.2300000000000004,4.14,0.115,18.657400000000003,35.76390000000001,167.0,205.0,0,,,,,,
26,26,Good,1137.0,3.45,116.0,146.0,0.9999012779559642,1137.0,327.80561231251374,343.92089328954535,0.0995490185449219,0.3482839138284588,0.0093142094438231,0.087193374581466,0.0769944157619114,4.46727309688445,0.9999012779559642,-0.1996467405749905,3.1349893795546664,0.6409463731069414,0.5698127141074528,Sec18,11,0,0.3348103586123512,3.45,4.485,7.82,1.035,4.37,0.115,12.912050000000004,53.09815000000001,155.0,184.0,1,,,,,,
27,27,Good,336.0,9.43,35.0,117.0,0.481410702087053,336.0,275.09855441411185,426.0648263249509,0.0560930954851722,0.1601566534444523,0.0107636213208427,0.0525186132124475,0.0286693748071919,5.11490621911474,1.0750490480486368,0.9955087776643684,3.835393147296214,0.1132691398499504,0.3336567954411583,Sec18,14,0,0.1046628318475633,9.43,9.43,12.995,0.0,3.5649999999999995,0.115,31.54628333333334,36.14258333333334,117.0,148.0,2,,,,,,
28,28,Good,545.0,7.13,101.0,163.0,0.7868186493148882,545.0,438.5937804123761,652.5671317373527,0.1074557175399077,0.6808857204946348,0.0223988591048976,0.094173917943392,0.0910350364380193,4.063201540992374,0.7868186493148882,0.1348051222543868,3.337664131554767,0.4075704302106583,0.0336075737362816,Sec18,1,0,0.1181009597868411,7.13,7.36,11.845,0.2300000000000004,4.715000000000001,0.115,23.500000000000007,25.135183333333337,165.0,204.0,3,,,,,,
29,29,Good,3521.0,8.625,316.0,391.0,0.6434158339696029,3521.0,282.00533629961353,32.92992281802503,0.0462519713321759,0.1704741335800451,0.006214608795124,0.0394697057536919,0.0290084602385186,6.38047278554816,0.6556650547831407,1.092971051366706,5.3963906974123255,0.7271110292464967,0.6580340975806828,Sec18,3,0,0.1854813435874745,8.625,8.05,14.375,-0.5749999999999993,5.75,0.115,21.11946666666667,24.912050000000008,386.0,441.0,4,,,,,,
