,Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
112,190.5556,190.5556,190.5556,27.1556,27.1556,27.1556,5.0445,5.0445,5.0445,5.1524,5.1524,5.1524,112.0
113,197.1111,197.1111,197.1111,28.0611,28.0611,28.0611,5.8034,5.8034,5.8034,5.0008,5.0008,5.0008,113.0
114,187.7778,187.7778,187.7778,21.6278,21.6278,21.6278,4.8155,4.8155,4.8155,3.7959,3.7959,3.7959,114.0
115,196.5556,196.5556,196.5556,33.4056,33.4056,33.4056,6.2485,6.2485,6.2485,6.0772,6.0772,6.0772,115.0
116,193.2222,193.2222,193.2222,27.2222,27.2222,27.2222,4.9293,4.9293,4.9293,4.4407,4.4407,4.4407,116.0
117,179.6667,179.6667,179.6667,12.0167,12.0167,12.0167,2.2319,2.2319,2.2319,1.3705,1.3705,1.3705,117.0
118,184.3333,184.3333,184.3333,8.0333,17.3833,17.3833,2.8698,2.8698,2.8698,1.5856,1.996,1.996,118.0
119,189.8889,189.8889,189.8889,20.6389,24.8389,24.8389,5.0573,5.0573,5.0573,5.184,4.8629,4.8629,119.0
120,199.4444,199.4444,199.4444,24.0444,32.1944,32.1944,5.9624,5.9624,5.9624,5.2248,5.6908,5.6908,120.0
121,197.7778,197.7778,197.7778,20.9778,25.3278,25.3278,5.7855,5.7855,5.7855,4.3372,4.4688,4.4688,121.0
122,185.0,185.0,185.0,5.15,11.6,11.6,3.5487,3.5487,3.5487,1.5666,2.237,2.237,122.0
123,190.8889,190.8889,190.8889,24.7889,31.6889,31.6889,4.6671,4.6671,4.6671,4.3034,4.5643,4.5643,123.0
124,187.5556,187.5556,187.5556,14.4556,19.2556,19.2556,4.0872,4.0872,4.0872,3.3222,3.5261,3.5261,124.0
125,198.4444,198.4444,198.4444,30.5944,30.5944,30.5944,5.9144,5.9144,5.9144,5.294,5.294,5.294,125.0
