G3Amplitude1,G3Amplitude2,G3Amplitude3,G3freeAmplitude1,G3freeAmplitude2,G3freeAmplitude3,G3freexcent,G3freeycent
6589.32552711442,3159.39869520448,2387.99997672649,451.803340193517,3806.17885111187,4028.50794508216,23697.9532845728,53059.0379008962
9562.80608032944,640.644289396282,5366.76460179907,2129.40874680447,212.06125283444,7290.76885730829,26816.477809088,59121.8274798854
23508.0526250467,2216.15008384875,7049.69430653032,11277.1664634679,1825.59212635462,6183.21436308223,27867.7926450507,55650.5640587389
13090.1891516133,0.552978503164585,1129.85147563055,4529.49186256606,0.276269208736446,1765.24811984713,39915.3674594744,38092.8372128108
12378.8642232613,1.315183264196,8397.63362636274,4083.09804225361,0.716947457652172,9318.62407189689,37686.4298168712,37476.2799926
5420.00142263914,5.18820358458627e-09,389.59818027831,1688.76983583743,1.31537059815655e-12,1114.32820625761,28543.9925198911,54849.7021256073
2863.09979085568,2.60031168527964e-14,0.210570410326524,864.381806391637,4.12797172215609e-14,262.043477700444,17035.9878923519,44948.8704848569
4100.25316610864,4255.67314965167,742.398215849386,1488.45314989515,2680.58991016634,490.088969851043,36358.6250819205,47411.5702951269
7976.25864275479,1886.68661594155,448.939825769555,2242.19573083656,2833.90817736168,263.223956713285,18643.4138124002,37177.6686059474
10485.5222317271,129.862992702099,641.409332467159,4379.96671502702,205.605942196713,750.768487817152,36031.4602819403,46869.6357993672
12709.6675033909,2.82125787900426e-09,161.615417695556,2.22104771366143e-14,2.22044604925031e-14,13081.662495031,16160.1115414908,51974
10089.9703076812,215.756215637297,492.665673940295,4110.83670498905,1365.86587082821,9.35551482154313,17918.9755630732,52406.9865649562
6124.21812439695,47.8550708077692,1008.56612562097,2476.79392121161,79.5714328662501,1425.43689140408,19956.651716342,49782.4833402907
6065.8426953077,489.942173384082,1865.07605829285,2637.14788335016,352.185387473305,1507.62246255546,38419.0129918257,51606.3053708249
14164.4191925724,8.234865357242e-07,2.22116099787569e-14,2191.46335287333,8794.44264880876,3.70103333895822e-14,29159.7098054841,44577.8465832522
12024.0405071447,2.23578877815927e-14,8.90410562784585,5074.46878939397,3.25768644221602e-14,3.02713712351742e-14,24470.9844417755,53732.3766127606
14670.3163958465,71.2616606986227,1314.21481482295,5761.2611088645,111.354828482729,1729.97484018507,23668.8363330945,53915.3413772395
9931.52574745758,4533.58941841486,716.971784717875,5888.69678381651,1877.49606418563,361.642660380591,27486.9129451926,49609.9503984018
7769.22672845212,74.4829297471229,1797.50596607708,2231.48360354589,86.1608293308479,2840.77068734431,34080.062967867,54604.6597429887
9073.60396482996,2.33822262622943e-14,2.22044604925031e-14,2992.72940880934,4.41824491787929e-14,1249.01362455014,16076.089306437,60729.2414843122
10726.2177204049,300.994818690877,1651.14711295134,3750.36017033324,454.887309603335,2669.56783764527,25892.6360010795,53293.2370624774
20439.9753137039,0.197394974616477,6148.97908543635,9272.95578229167,0.00289422485026511,4097.07628265213,24408.9347787399,56104.3166598766
11094.2102824695,6.83557054570231e-13,0.197986057019692,3708.07460352296,6.22641278971035e-14,1070.42597392536,15238.37984815,49511.3300668614
22759.0832094584,146.489589059431,2006.41147345428,9570.63256007964,123.197819652236,2702.04065808721,16328.7469434746,52034.705864955
18262.6127818222,665.685658576247,6340.18132135001,8308.45754021425,517.074450596949,6196.60543190588,25099.6356684157,57522.3734110302
13372.8146230785,2778.60258894089,3057.43168953131,2164.68328137231,3414.10607545416,4949.97613056966,19981.2382396372,37701.2091992312
