,Frame,Intensity_Corrected,Intensity_Raw
426,426,-5.5278,143.2222
427,427,-1.3,140.0
428,428,0.7278,146.7778
429,429,-0.3889,141.1111
430,430,1.9944,151.4444
431,431,-8.3667,143.3333
432,432,-3.45,142.0
433,433,3.4667,151.6667
434,434,4.0778,151.7778
435,435,3.9167,152.6667
436,436,0.5222,153.2222
437,437,5.6944,156.4444
438,438,-0.1333,146.6667
439,439,1.2111,151.1111
440,440,-0.0611,149.8889
441,441,-2.1389,142.1111
442,442,-0.9556,142.4444
443,443,4.6111,148.1111
444,444,4.9444,151.4444
445,445,2.9,150.0
446,446,-1.0833,149.6667
447,447,9.0389,151.8889
448,448,-0.9,143.0
449,449,3.5056,148.5556
450,450,4.3056,150.5556
451,451,-1.0222,142.7778
452,452,-0.1611,144.8889
453,453,3.1611,148.1111
454,454,-6.4333,142.6667
455,455,-5.3111,143.8889
456,456,-2.4056,145.4444
457,457,4.8611,154.1111
458,458,1.8056,153.5556
459,459,3.8333,160.3333
460,460,4.0833,154.3333
461,461,-1.4056,151.4444
462,462,4.1944,153.4444
463,463,-5.0222,146.7778
464,464,0.1722,148.2222
465,465,-6.0833,143.6667
466,466,2.3889,146.8889
467,467,8.6556,156.5556
468,468,5.9667,154.6667
469,469,8.9667,160.6667
470,470,-2.2333,152.6667
471,471,1.9222,150.2222
472,472,5.2611,153.1111
473,473,-6.1111,138.8889
474,474,3.7167,146.6667
475,475,-1.3389,148.1111
476,476,-1.05,146.0
477,477,-1.4278,147.2222
478,478,-2.4222,143.7778
479,479,-8.0722,145.7778
480,480,-6.4778,142.2222
481,481,-5.4333,140.6667
482,482,-8.4278,142.2222
483,483,-1.0333,149.6667
484,484,0.4222,143.2222
485,485,5.5278,149.7778
486,486,1.2111,145.1111
487,487,-0.5833,144.6667
488,488,-3.4944,141.5556
489,489,-3.05,145.0
490,490,2.8167,152.6667
491,491,-6.7889,144.1111
492,492,7.5722,160.2222
493,493,9.6889,158.8889
494,494,5.3722,155.2222
495,495,0.2444,150.4444
496,496,5.1444,155.4444
497,497,13.0944,162.4444
498,498,8.7444,162.4444
499,499,13.4389,161.8889
500,500,6.0778,151.7778
501,501,18.5889,164.8889
502,502,14.5444,163.4444
503,503,9.3833,157.3333
504,504,10.1167,157.6667
505,505,14.6556,158.5556
506,506,13.7667,160.6667
507,507,14.2444,163.4444
508,508,12.7722,160.2222
509,509,17.0722,166.2222
510,510,5.9889,151.8889
511,511,5.5389,152.8889
512,512,18.3,167.0
513,513,13.6222,162.2222
514,514,19.05,165.0
515,515,8.2722,161.2222
516,516,8.1889,156.8889
517,517,10.1833,161.3333
518,518,10.4944,155.4444
519,519,2.8889,152.8889
520,520,5.2722,155.2222
521,521,9.7389,158.8889
522,522,9.2278,155.7778
523,523,9.0278,156.7778
524,524,5.45,152.0
