,File_ID_or,File_ID,Site_ID,Set,Replicate,Label,Nt_Locs_Gr,Mass_Center_X,Mass_Center_Y,GFP_Center_X,GFP_Center_Y,Tau_Center_X,Tau_Center_Y,R_Raw,R_2nd,R_w,R_Tau,Sigma_Tau,Inner_Radius_Tau,z1_Tau,z2_Tau,N_Locs,Compact,Expanded,Pred
450,15,15,34,Sec9_GFP,0,Sec9_GFP_Rep0,64.0,35278.34080645,59850.93516129,35270.75,59832.81,-6.66013512,-12.20742236,58.53930764435792,58.53930764435792,53.28897942540183,42.92030469800242,19.74492326738887,9.907443387124111,0.3059340181779253,0.1428284993026229,62,0.1448478903653902,0.8551521096346097,Expanded
451,15,15,33,Sec9_GFP,0,Sec9_GFP_Rep0,38.0,35421.14147059,61166.83794118,35393.8,61158.98,-0.84430446,-0.09605386,61.114886825458925,61.114886825458925,56.15184061805616,41.71309975130951,17.651880123118527,24.67767212328195,0.09027520275707,0.1595609534801076,34,0.0174645130018522,0.9825354869981476,Expanded
452,15,15,30,Sec9_GFP,0,Sec9_GFP_Rep0,81.0,32279.963625,50041.978625,32275.29,50035.86,-22.53855557,55.44282079,70.57696833051435,68.80702226472786,67.40621310006303,75.633193169884,22.362768993288853,37.286101312729016,0.8217185026713593,0.43039474783424,80,0.4232692791024048,0.576730720897595,Expanded
453,15,15,29,Sec9_GFP,0,Sec9_GFP_Rep0,35.0,32511.36485714,49530.36742857,32510.45,49519.06,4.82494915,5.39741689,58.637936061904696,58.637936061904696,55.78653562661585,42.505315049416325,12.574772505484434,21.30907475537878,0.1645636011011746,0.4466984719511405,35,0.0185063644445356,0.9814936355554644,Expanded
454,15,15,31,Sec9_GFP,0,Sec9_GFP_Rep0,100.0,34838.02326087,46345.23597826,34825.02,46351.05,-1.81711435,-13.74208649,75.73008473304576,75.73008473304576,72.62016860850537,55.84076098437784,16.976717262582117,26.497785374676976,0.2470504092605658,0.2225073809182999,92,0.0046377160227318,0.995362283977268,Expanded
455,15,15,26,Sec9_GFP,0,Sec9_GFP_Rep0,133.0,30137.90721805,56964.89533835,30102.81,56973.23,-8.26290154,7.42271082,63.82945372539185,61.65047558553327,53.19105606072952,45.41526426948904,16.55263201018123,20.5932037219961,0.2697782752950165,0.1021918178108343,133,0.0096351089003011,0.9903648910996988,Expanded
456,15,15,25,Sec9_GFP,0,Sec9_GFP_Rep0,46.0,22354.10795455,47730.74954545,22349.86,47739.81,-2.18320522,-5.7304863,54.17955606746261,54.17955606746261,47.52699234007868,39.18252563630723,17.382735337804444,11.00702297837045,0.188918638973804,0.0487630584626939,44,0.2666861045152064,0.7333138954847933,Expanded
457,15,15,24,Sec9_GFP,0,Sec9_GFP_Rep0,117.0,31247.31666667,47226.90350877,31238.05,47239.72,12.13587356,3.36218771,68.22927887558274,67.16220054063255,61.445469296555885,48.45693786638464,23.790777205024856,10.042598209472477,0.3217921611816488,0.0534754378692605,113,0.160604258383908,0.839395741616092,Expanded
458,15,15,22,Sec9_GFP,0,Sec9_GFP_Rep0,46.0,20156.77522727,53321.015,20150.62,53324.42,2.4072885,8.27360804,59.33791585862672,55.34071904688327,61.61408366563781,38.9328639775885,16.804467993478582,10.857235855697011,0.2122782639529306,0.1838601435391181,44,0.2743180549429986,0.7256819450570015,Expanded
459,15,15,21,Sec9_GFP,0,Sec9_GFP_Rep0,111.0,19763.30817073,53958.57914634,19738.51,53956.45,-8.80478958,6.14992525,64.74406938854446,64.74406938854446,83.3255057097957,46.52239871169861,17.05126203987138,22.02945120712171,0.2124300557274122,0.0762302326028196,82,0.0055145407661936,0.994485459233806,Expanded
